range,midpoint,mean,A1,psi1,p,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,phi9,phi10,phi11,phi12,ljung,var
6.12,13.09,13.60555556,2.363189149,-0.133620053,2,1.291326515,-0.365225499,,,,,,,,,,,0.977661547,0.081990637
6.86,10.81,10.59583333,2.356470205,-1.214035117,1,0.985391399,,,,,,,,,,,,0.001161625,0.043120287
3.28,9.79,9.766458333,1.05544087,-0.530242151,2,1.042491473,-0.190927233,,,,,,,,,,,0.018281923,0.028335954
4.6,13.21,13.89680556,-1.360049258,-0.548412912,2,1.187505996,-0.192496736,,,,,,,,,,,0.151812911,0.013406031
10.57,9.155,8.178611111,3.681495185,-0.523442811,2,1.228176691,-0.246156667,,,,,,,,,,,0.665094826,0.112821727
5.44,6.15,6.474513889,2.457912229,-1.087496693,1,0.919742917,,,,,,,,,,,,0.047661318,0.040906812
4.02,11.1,11.74763889,-0.812883994,-0.583920603,1,0.991081433,,,,,,,,,,,,0.009076531,0.021678551
4.05,14.025,14.08701389,-0.839810179,-0.634688823,2,1.224841305,-0.233353626,,,,,,,,,,,0.035186601,0.030264563
5.35,13.315,13.26236111,2.224034624,-1.426128526,3,1.46065025,-0.695105058,0.222837661,,,,,,,,,,2.52547E-05,0.048271861
7.31,7.575,7.3025,3.129086682,-0.818573545,1,0.973379358,,,,,,,,,,,,0.594870605,0.062811026
4.12,6.56,6.689305556,1.020765289,4.622831281,1,0.759262377,,,,,,,,,,,,0.303143351,0.112143519
3.09,6.455,6.365555556,0.901563436,-0.696120164,1,0.893907151,,,,,,,,,,,,0.004996608,0.050136154
4.85,7.125,7.026805556,1.619110753,-0.886170975,2,1.226030005,-0.277571392,,,,,,,,,,,0.112182501,0.047963155
5.89,12.375,13.01618056,-2.132651635,-0.574126605,1,0.978638023,,,,,,,,,,,,0.399597159,0.026978787
3.74,10.86,11.33986111,0.809992111,-0.507557975,2,1.206934236,-0.29891825,,,,,,,,,,,0.670627172,0.057324027
5.87,9.765,9.666805556,2.425346277,-0.734621735,4,1.290884466,-0.404240358,0.385650907,-0.346818119,,,,,,,,,0.04460369,0.042004569
4.72,10.58,10.58930556,1.383079556,-1.933974714,1,0.918661331,,,,,,,,,,,,0.983250461,0.066177683
3.78,10.93,10.926875,-0.811042676,0.725714794,2,1.05856216,-0.247802295,,,,,,,,,,,0.870207717,0.071264058
4.37,12.755,12.67152778,-1.385119022,-0.530494484,2,1.189030925,-0.298093947,,,,,,,,,,,0.174737995,0.05567997
7.6,8.34,7.724375,2.485712708,-1.251001165,1,0.990947187,,,,,,,,,,,,0.787037936,0.073952049
4.03,6.425,6.501180556,1.006517826,-1.165644499,1,0.976568657,,,,,,,,,,,,0.001343856,0.027498669
2.34,8.01,8.042569444,0.476640876,-0.83252499,1,0.945053081,,,,,,,,,,,,0.924800123,0.02016243
4.5,8.91,8.818125,0.783970519,-1.052161751,2,1.335388352,-0.3782579,,,,,,,,,,,0.049385074,0.047263896
3.78,11.13,11.18722222,1.500232528,-8.337120012,3,1.231093592,-0.559628595,0.267277981,,,,,,,,,,0.647623495,0.01974697
6.74,13.39,14.08041667,-1.53734636,-19.75769044,2,1.430421588,-0.464210864,,,,,,,,,,,0.260611583,0.118619644
7.11,11.695,11.52590278,2.455515949,-0.860469003,3,1.315788091,-0.172008577,-0.187871794,,,,,,,,,,0.051432261,0.031939933
4.2,11.95,12.10513889,1.602905801,-1.493230479,2,1.533874251,-0.607956008,,,,,,,,,,,0.675262658,0.027786093
5.4,8.03,7.632430556,1.509412333,-0.394001953,2,1.39681929,-0.456155502,,,,,,,,,,,0.201021006,0.02476908
4.4,6.74,7.4175,-1.150163267,-4.979719661,2,1.30769189,-0.373088695,,,,,,,,,,,0.46354413,0.0329612
4.18,9.22,8.876805556,1.272833441,1.110869056,1,0.985624144,,,,,,,,,,,,0.138984103,0.0330847
6.46,13,11.760625,1.592512158,0.426780103,2,1.368215917,-0.380978205,,,,,,,,,,,0.02656515,0.047043964
3.68,16.92,16.80395833,1.295713017,8.028564108,3,1.14586653,-0.4487302,0.233644163,,,,,,,,,,0.375522223,0.028310171
9.07,13.105,11.77,3.433956187,-1.257613885,1,0.997361116,,,,,,,,,,,,0.090395927,0.061011712
4.64,9.47,9.448541667,-1.276620859,-5.5382927,1,0.942240768,,,,,,,,,,,,0.042429498,0.037754074
6.79,9.005,8.353194444,2.04889677,-1.46062929,2,1.288148894,-0.341545716,,,,,,,,,,,0.305828457,0.057629768
5.39,8.615,8.329097222,1.652008736,-1.375094353,4,1.226983825,-0.246078748,0.199054303,-0.256838766,,,,,,,,,0.982952636,0.039819535
4.25,12.225,11.85743056,0.886264093,1.41463119,2,1.170733697,-0.184064569,,,,,,,,,,,0.95353563,0.032137142
4.65,13.515,13.46381944,1.725875232,-1.370908367,2,1.202574213,-0.282348795,,,,,,,,,,,0.021724335,0.039984876
6.52,14.71,13.56465278,0.907382312,-0.483569398,7,0.870986027,-0.079454526,-0.009367874,0.181255537,0.009259054,0.346974862,-0.340383046,,,,,,0.661129243,0.150443097
4.52,17.45,18.08090278,-0.895532197,-0.358425417,3,1.030652645,0.033597121,-0.224070609,,,,,,,,,,0.951389258,0.060991722
6.29,15.265,16.11277778,2.233371943,-1.165660572,2,1.397676055,-0.470285123,,,,,,,,,,,0.009541802,0.07526973
5.52,16.07,15.93118056,1.17060693,0.074065788,6,1.161505964,-0.676335386,0.903030832,-0.505664259,0.341937526,-0.285230903,,,,,,,0.977426377,0.090891497
2.45,17.545,17.410625,0.499789298,-0.652291105,1,0.926897267,,,,,,,,,,,,0.946682716,0.03617775
2.49,18.695,18.73805556,-0.197581059,0.540900685,2,1.203831046,-0.326160094,,,,,,,,,,,0.211100453,0.03099368
2.34,18.96,19.01763889,0.617451711,1.182751219,1,0.982455485,,,,,,,,,,,,0.116664374,0.016371877
6.47,16.685,16.96513889,-2.414377621,-174.4057237,1,0.979456822,,,,,,,,,,,,0.025800986,0.080151176
4.37,17.005,16.77291667,1.338795199,8.086404913,1,0.896772312,,,,,,,,,,,,0.190423627,0.064623207
4.66,15.41,15.40944444,0.813379995,-1.351864956,2,1.217692588,-0.295409164,,,,,,,,,,,0.034465383,0.092570875
4.1,13.66,13.44375,1.298667248,-1.110613643,1,0.93663406,,,,,,,,,,,,0.432958213,0.050265548
4.15,15.755,15.18125,1.562480044,1.12541965,5,1.064452756,-0.003288611,0.056259341,0.146285655,-0.275029107,,,,,,,,0.499126848,0.015184388
5.4,15.37,16.28472222,1.748416104,-0.419711188,2,1.23231144,-0.288891885,,,,,,,,,,,0.04556435,0.043502183
6.95,15.885,16.33305556,3.019555456,-1.882064714,2,1.409262157,-0.436511967,,,,,,,,,,,0.624694342,0.050175564
7.95,11.275,11.63722222,1.576786496,-2.032245322,2,1.555028171,-0.584273051,,,,,,,,,,,2.93423E-05,0.06796322
4.68,10.08,10.0475,1.57531651,-1.832243573,1,0.939366387,,,,,,,,,,,,0.056492319,0.028265962
3.61,10.545,10.27979167,0.574078025,0.395299978,3,1.373252251,-0.606024436,0.197845461,,,,,,,,,,0.530273181,0.030072556
4.07,9.475,9.505416667,0.943226682,0.116615352,3,1.64577765,-0.898097957,0.194207675,,,,,,,,,,0.375918843,0.024117527
3,9.1,8.982083333,1.148002798,-1.066834969,1,0.925198583,,,,,,,,,,,,0.659402462,0.017195458
5.55,11.475,11.71972222,-0.551749222,-0.943112851,2,1.300954388,-0.309745123,,,,,,,,,,,0.170429661,0.039424638
4.49,10.755,11.18201389,1.341957332,-0.282547178,4,1.209952214,-0.156138352,0.14490771,-0.253727812,,,,,,,,,0.00576091,0.015611852
5.13,12.725,13.16902778,0.992339699,1.078870693,4,1.326922613,-0.440800431,0.426993155,-0.360875145,,,,,,,,,0.050225592,0.027446956
2.48,12.99,13.45916667,-0.074663845,-1.370457362,3,1.185056445,-0.455356705,0.190942221,,,,,,,,,,0.107571154,0.023268734
4.21,11.525,11.92611111,-1.218756031,32.43513262,1,0.977043319,,,,,,,,,,,,0.327577106,0.046332692
5.18,9.36,8.575486111,0.541596454,-0.102928042,2,1.348697118,-0.392111759,,,,,,,,,,,0.043772878,0.064168879
7.44,10.68,10.2075,1.733433292,0.550369034,3,1.105989748,0.081624592,-0.214677155,,,,,,,,,,0.393075553,0.096363168
2.77,13.825,13.97034722,0.893762101,-4.564568688,2,1.142182033,-0.220687435,,,,,,,,,,,0.064161629,0.025591755
6.47,13.095,13.56041667,2.063067449,-8.526754113,2,1.317847369,-0.332638113,,,,,,,,,,,0.92006671,0.04450836
5.68,7.65,7.955763889,2.228673778,-1.190312919,2,1.160838115,-0.288610807,,,,,,,,,,,0.148333979,0.088817921
3.61,7.885,8.012430556,0.97491192,-1.185091487,2,1.234418848,-0.332538462,,,,,,,,,,,0.08725438,0.037585151
3.79,8.475,7.931111111,0.636553886,-0.266796129,2,1.309769172,-0.370104375,,,,,,,,,,,0.658331668,0.049213048
6.56,11.24,10.62354167,2.192457866,0.748993073,2,1.39411465,-0.411122359,,,,,,,,,,,0.966202276,0.066215491
7.81,11.835,10.85631944,3.270298235,-1.13794339,3,1.257953399,-0.466491645,0.204000098,,,,,,,,,,0.70871338,0.047857946
6.18,10.81,10.81472222,2.378415686,14.51341555,4,1.270681829,-0.759298752,0.769660334,-0.347979324,,,,,,,,,0.01837794,0.053432894
4.18,12.25,11.40729167,-0.35912561,-0.29979057,2,1.262561386,-0.327304647,,,,,,,,,,,0.292281013,0.063552128
4.51,13.105,12.77486111,1.477348172,-293.7388336,2,1.165122287,-0.198002702,,,,,,,,,,,0.031373161,0.03089689
4.18,13.58,13.69979167,1.05083384,1.292423752,2,1.232949494,-0.263030455,,,,,,,,,,,0.000319004,0.0427836
4.44,13.99,14.18569444,0.212214865,29.63460398,5,1.036117403,-0.101540028,0.219044285,0.021085233,-0.235736518,,,,,,,,0.844992787,0.052439776
3.97,13.795,13.89833333,0.178301179,-1.051132595,2,1.131276517,-0.2363565,,,,,,,,,,,0.000350461,0.078322825
10.12,9.24,8.574583333,3.507099728,-1.373734652,7,1.133690152,-0.146089199,0.213622932,-0.115841555,0.098341043,0.026926126,-0.216322966,,,,,,0.200369579,0.024431805
3.36,5.25,4.611319444,-0.692673568,-5.317357063,2,1.113398148,-0.201508041,,,,,,,,,,,0.62141749,0.038182754
3.68,4.3,4.450555556,-0.300615754,-0.164360038,1,0.893751358,,,,,,,,,,,,0.273554947,0.077027668
3.01,5.995,5.854305556,-0.446139845,-7.458069557,2,1.200087744,-0.236102369,,,,,,,,,,,0.188162998,0.034160331
5.07,8.815,8.737569444,2.065596705,1.476363051,1,0.990589171,,,,,,,,,,,,0.919009526,0.027511888
4.72,11.21,11.785,1.871445819,1.729988732,2,1.247062291,-0.258902379,,,,,,,,,,,0.616888604,0.016749253
10.36,10.65,11.61548611,2.769979052,10.10615865,2,1.438903223,-0.461853654,,,,,,,,,,,0.017907724,0.091389558
7.77,8.965,9.763680556,2.20298367,-1.259853616,5,1.27302867,-0.401067547,0.07260618,0.352318379,-0.332588936,,,,,,,,0.114957941,0.066426814
8.89,8.785,8.882083333,4.265952833,-1.159218633,2,1.177281721,-0.186853683,,,,,,,,,,,0.898603261,0.042883107
3.45,7.315,7.660902778,-1.329855937,0.641556343,1,0.984020314,,,,,,,,,,,,0.084314188,0.014950861
6.41,5.885,6.402361111,2.051371847,-10.8651053,2,1.273342724,-0.297394074,,,,,,,,,,,0.195962319,0.038006903
6.02,7.68,7.085416667,1.320023942,1.395750917,2,1.315114932,-0.360589723,,,,,,,,,,,0.456082341,0.079666544
3.7,8.3,8.433680556,1.006487002,1.002035524,2,1.141079857,-0.221734612,,,,,,,,,,,0.388115757,0.058782501
5.27,9.205,9.517361111,2.109833288,-4.202293188,2,1.240870797,-0.269450198,,,,,,,,,,,0.068715183,0.01517905
4.65,9.625,9.366527778,1.361628515,1.404053829,4,1.273993097,-0.239232428,0.151282999,-0.227900054,,,,,,,,,0.110422935,0.039495283
2.56,10.81,11.10201389,0.199200066,-0.101592135,2,1.406054759,-0.451158809,,,,,,,,,,,0.881750553,0.021098895
6.62,11.2,11.62902778,-1.885083963,0.312234385,1,0.994844352,,,,,,,,,,,,0.520264357,0.02960476
4.73,5.765,6.070486111,1.678743775,-1.189986762,5,1.243300358,-0.397591301,0.261561826,0.019379406,-0.208761561,,,,,,,,0.599172774,0.027769522
4.79,8.265,7.075555556,-0.546535985,0.487396854,2,1.53651384,-0.572468801,,,,,,,,,,,0.09860635,0.029801974
2.73,8.565,8.833819444,0.411037293,1.113153364,2,1.636547071,-0.662939161,,,,,,,,,,,0.057561838,0.006547333
1.77,9.275,9.258333333,-0.05744233,0.396153009,2,1.309875062,-0.392744693,,,,,,,,,,,0.202670546,0.014528681
4.34,9.15,9.298472222,1.857651949,1.427049871,10,1.503233753,-0.437095784,0.010524121,-0.123329682,0.15510065,-0.266429598,0.091011423,0.133176518,0.097648021,-0.171190986,,,0.992272066,0.003512647
3.33,11.595,11.97784722,0.664779739,0.538242713,10,1.267152556,-0.550801468,0.421195464,-0.279851674,0.385061487,-0.400045717,0.174619955,0.117297865,0.015421168,-0.215415612,,,0.759076593,0.01714082
7.71,7.375,6.916180556,3.15527078,-1.321730829,2,1.376226372,-0.381491125,,,,,,,,,,,0.512160576,0.051674248
3.91,4.275,4.009166667,-0.673673151,-0.357366623,1,0.933733242,,,,,,,,,,,,0.14947237,0.0634278
4.37,5.565,5.516875,-1.311490325,-0.910098545,5,1.156730564,-0.343724267,0.067243415,0.357703725,-0.298084583,,,,,,,,0.419333785,0.054727376
3.43,6.045,5.858055556,-0.858622185,0.521560322,1,0.971097541,,,,,,,,,,,,0.081208803,0.031550751
1.51,7.285,7.496944444,-0.19747226,-0.168977007,2,1.220993839,-0.241624772,,,,,,,,,,,0.55727826,0.003296871
0.99,8.095,8.096944444,-0.426523339,-0.985238825,2,1.483343785,-0.539897077,,,,,,,,,,,0.213889781,0.000417725
2.46,7.15,7.4225,0.488809122,-0.940884205,3,1.31258194,-0.688473648,0.328100859,,,,,,,,,,0.003737791,0.012396948
1.09,7.175,7.138402778,0.405794248,-4.590177454,1,0.842377199,,,,,,,,,,,,0.055969496,0.004280041
3.24,5.72,5.679930556,1.075217598,-1.29917181,2,1.172345201,-0.19048369,,,,,,,,,,,0.015672499,0.011658473
4.82,4.35,4.687638889,1.897062607,-1.668496449,1,0.951128831,,,,,,,,,,,,0.007179436,0.062668319
7.6,4.99,4.887083333,2.967575115,-4.774000337,5,1.406922459,-0.508930345,0.252387457,0.076039009,-0.239333931,,,,,,,,0.458053179,0.019963535
2.45,7.325,7.594375,0.676512216,0.657785203,2,1.110076903,-0.202923347,,,,,,,,,,,0.830625864,0.018458637
3.81,10.095,10.34375,-1.296708024,17.57940988,2,1.444277195,-0.445463562,,,,,,,,,,,0.261056539,0.006008713
2.04,12.88,12.61715278,-0.372521896,-0.032803125,3,1.296441345,-0.150579847,-0.193413657,,,,,,,,,,0.576435449,0.005134135
3.65,10.145,9.869305556,0.715469318,-1.04787409,2,1.481058199,-0.495945526,,,,,,,,,,,0.101839357,0.01604606
1.9,8.33,8.444722222,0.527383255,0.10250753,3,1.248026215,-0.096024196,-0.195786551,,,,,,,,,,0.033895746,0.00519652
4.76,8.39,8.813819444,-1.448125555,0.292021738,1,0.990092282,,,,,,,,,,,,0.230236569,0.018903301
1.66,5.63,5.760347222,0.278311521,-7.730082412,2,1.309384594,-0.370840262,,,,,,,,,,,0.398230502,0.006941027
5.42,7.32,7.228194444,-1.946017575,-7.155988014,3,1.417369095,-0.222707536,-0.235584656,,,,,,,,,,0.558867372,0.007804761
4.65,6.355,6.370277778,1.619962592,-1.283093815,2,1.454177365,-0.554168108,,,,,,,,,,,0.561004871,0.023473322
5.01,9.945,10.65645833,-1.59855119,-0.57784858,2,1.395708247,-0.39959294,,,,,,,,,,,0.011024128,0.006297148
3.09,10.465,10.65326389,-1.145285057,0.824526725,3,1.285432093,-0.126808859,-0.186657152,,,,,,,,,,0.849420009,0.004895786
4.61,11.235,11.41506944,1.293702742,14.1161949,4,1.486983205,-0.415252586,0.210674718,-0.285895264,,,,,,,,,0.31040836,0.002431233
1.29,14.035,13.98534722,-0.406495444,0.609725394,2,1.65872005,-0.695641288,,,,,,,,,,,0.202118125,0.000899957
9.34,9.03,7.126319444,2.046537649,-0.57409641,3,1.391693896,-0.203129293,-0.196593375,,,,,,,,,,0.577665432,0.033007022
5,4.02,3.808402778,0.636135711,-7.755539001,2,1.370010356,-0.374178996,,,,,,,,,,,0.970165855,0.014294905
6.01,1.755,1.776041667,2.537830192,8.174403993,4,1.121208778,-0.036871056,0.065349813,-0.20408894,,,,,,,,,0.929267616,0.028337738
5.9,1.76,1.7125,2.916596191,1.958318819,3,1.405107361,-0.731063003,0.281566166,,,,,,,,,,0.880821779,0.016226939
7.7,1.56,1.239583333,2.918230244,8.058051501,2,1.1249367,-0.282231155,,,,,,,,,,,0.530213062,0.043200579
6.2,2.18,2.289722222,3.002099967,14.23401915,1,0.963537323,,,,,,,,,,,,0.384043112,0.033367892
5.85,3.415,3.046805556,2.372024238,-23.04613992,3,1.545996789,-0.800865582,0.220063213,,,,,,,,,,0.383966017,0.027439156
4.49,2.045,2.034652778,1.119692918,1.773070376,2,1.303229358,-0.326235793,,,,,,,,,,,0.031170516,0.01455015
6.03,4.575,5.293263889,2.302574791,1.778254752,5,1.397327868,-0.39476563,0.102705316,0.169826324,-0.278055051,,,,,,,,0.698895843,0.005545852
3.34,5.56,5.737013889,1.039261451,1.080684132,2,1.607224724,-0.613576538,,,,,,,,,,,0.470263649,0.003718679
8.28,4.5,5.500555556,-3.633354965,-1.602573281,2,1.504536306,-0.520478026,,,,,,,,,,,0.455995805,0.029896448
2.95,8.445,9.050069444,-0.658366475,0.704869749,6,1.657615811,-1.100697482,0.804550983,-0.858246982,0.686955336,-0.218433774,,,,,,,0.539954908,0.012629449
3.12,7.29,6.875625,-1.156342052,-0.840240012,2,1.403448077,-0.438020023,,,,,,,,,,,0.654008856,0.007496862
3.18,6.37,6.618055556,1.046426535,0.155533017,3,1.5610442,-0.413441715,-0.212298708,,,,,,,,,,0.079526511,0.007261559
3.23,6.355,7.082638889,1.032302842,1.234046472,2,1.741810094,-0.770838752,,,,,,,,,,,0.202770586,0.002917911
3.72,6.14,6.774027778,-1.403159433,-5.22580478,4,1.423377147,-0.544147723,0.474427646,-0.359001814,,,,,,,,,0.956097429,0.005045246
5.43,5.365,4.934097222,-1.07596166,7.283019212,4,1.694184757,-1.073192161,0.545762849,-0.197994969,,,,,,,,,0.642705237,0.026323631
3.5,1.53,1.796666667,-0.740336857,-7.369429664,2,1.277726861,-0.28000718,,,,,,,,,,,0.44348345,0.01006009
5.84,-0.51,-1.981111111,-0.706786863,7.284662925,2,1.632650688,-0.664272603,,,,,,,,,,,0.003908977,0.022857286
7.2,2.28,2.994583333,3.027506689,-16.88064939,2,1.775829478,-0.778714209,,,,,,,,,,,0.437554829,0.006776219
6.43,2.665,3.212152778,2.296568077,-1.850967029,4,1.148325071,-0.02038925,0.086950548,-0.217786446,,,,,,,,,0.364313816,0.017656053
5.9,-0.11,0.445,2.515871342,8.107797241,4,1.644762199,-0.907610085,0.523414491,-0.294687376,,,,,,,,,0.667616881,0.011655213
3.64,0.95,1.211180556,-0.814655608,-1.116528131,3,1.404200572,-0.072925735,-0.346313034,,,,,,,,,,0.559240523,0.004163739
5.38,1.16,1.069652778,2.309549129,14.55335131,2,1.534952693,-0.583274953,,,,,,,,,,,0.068523668,0.008801346
3.62,0.62,0.764930556,1.625119451,1.937946925,1,0.869776694,,,,,,,,,,,,0.732407135,0.011725569
4.15,-0.325,-0.267430556,-1.008271069,0.197317863,2,1.413937644,-0.424803027,,,,,,,,,,,0.120129084,0.010111483
3.47,-1.725,-1.599583333,0.718703436,-1.450640198,1,0.958520673,,,,,,,,,,,,0.064278521,0.0551452
2.52,-1.79,-2.033402778,0.860482253,-1.168156256,2,1.241904933,-0.325396776,,,,,,,,,,,0.827951655,0.031347346
3.38,-0.15,0.146111111,1.222213523,-4.630139317,2,1.53549593,-0.5538783,,,,,,,,,,,0.085791715,0.006750694
5.78,-1.77,-0.842638889,2.085474671,104.4913722,4,1.629283064,-0.866340883,0.559055354,-0.328332188,,,,,,,,,0.794967099,0.011819391
2.84,-3.82,-3.842708333,1.114875257,-4.562063054,2,1.482232479,-0.524333412,,,,,,,,,,,0.633583758,0.004579989
2.8,-2.6,-2.467152778,1.316471765,1.528762344,1,0.996074487,,,,,,,,,,,,0.18789818,0.004857943
3.05,-0.045,-0.122291667,1.22191176,14.11303649,6,1.158639404,-0.386553327,0.514547778,-0.230285567,0.163446314,-0.238277024,,,,,,,0.891141148,0.006650582
2.11,1.135,1.191805556,0.609328832,1.396810146,1,0.966810863,,,,,,,,,,,,0.066293295,0.006566455
2.37,1.425,1.7225,-0.645590401,0.663591917,2,1.313060115,-0.328654405,,,,,,,,,,,0.736986392,0.004105025
1.95,0.785,0.898888889,-0.509520904,0.100997589,1,0.955036065,,,,,,,,,,,,0.082459674,0.00696309
3.17,1.705,2.019097222,-1.021191929,-0.923320326,1,0.993833218,,,,,,,,,,,,0.210635833,0.006832036
0.88,2.08,2.010347222,-0.12473473,0.446879786,1,0.935685085,,,,,,,,,,,,0.189443011,0.003868691
2.5,1.03,1.049583333,1.274658673,-1.553866813,2,1.259158376,-0.268023191,,,,,,,,,,,0.265951034,0.005344456
2.98,1.54,1.878541667,-0.8271688,-13.82785261,2,1.628577436,-0.63225849,,,,,,,,,,,0.869966549,0.002693476
2.61,4.195,4.085069444,-1.2676101,17.78005006,1,0.939905477,,,,,,,,,,,,0.091319644,0.003624635
1.92,2.88,3.094375,-0.459378018,0.036811238,2,1.34941492,-0.367804109,,,,,,,,,,,0.149106698,0.007132618
5.05,3.285,3.041666667,2.093226324,1.252023723,2,1.435979005,-0.439552888,,,,,,,,,,,0.299782061,0.008344261
2.16,6.17,6.037361111,-0.48556694,-0.201475801,4,1.227635227,-0.033793154,-0.003280119,-0.219023355,,,,,,,,,0.256940777,0.002390769
3.4,3.25,3.890763889,-0.236179455,-0.222090948,2,1.510329177,-0.51390324,,,,,,,,,,,0.735543581,0.005423307
5.36,2.43,2.513819444,2.191799096,-4.185322224,1,0.947105067,,,,,,,,,,,,0.346150981,0.02825998
3.33,2.245,2.292222222,-0.92545806,-1.086543737,3,1.634070272,-0.95525366,0.295946924,,,,,,,,,,0.064713114,0.010917702
3.61,1.725,1.292222222,1.409193235,1.035357277,3,1.478859662,-0.254152105,-0.229074511,,,,,,,,,,0.579247936,0.001634238
3.89,3.225,3.448819444,1.474716909,1.30692069,2,1.628423028,-0.644556499,,,,,,,,,,,0.00521447,0.004713756
5.54,8.03,9.097986111,-1.516356621,-0.825770654,2,1.780856405,-0.786433347,,,,,,,,,,,0.373654183,0.004960135
2.35,9.915,9.873333333,0.805373532,1.328111026,2,1.382452252,-0.433217909,,,,,,,,,,,0.029229297,0.00680507
6.89,5.365,4.284652778,2.039907578,-1.140177661,2,1.737952129,-0.742560774,,,,,,,,,,,0.117806264,0.014013925
5.03,-0.135,0.064027778,1.904143533,11.02377976,2,1.58446621,-0.596400386,,,,,,,,,,,0.005004159,0.014660252
2.9,-1.79,-2.023194444,0.974023937,-10.73389017,4,1.456980935,-0.458178247,0.155971195,-0.212723948,,,,,,,,,0.571733312,0.004312635
5.87,-5.135,-4.835486111,1.163100304,-1.482184526,2,1.755715435,-0.764241247,,,,,,,,,,,0.011293883,0.009192378
7.09,-2.515,-1.473888889,1.968093086,1.930641086,4,1.385339608,-0.135802513,-0.064339738,-0.188573022,,,,,,,,,0.334864532,0.006271091
3.64,0.61,0.54875,-0.905959859,-0.335833767,2,1.2479556,-0.299718303,,,,,,,,,,,0.441832293,0.017760057
1.81,0.805,0.839236111,-0.580778366,-7.52590233,4,1.306627366,-0.479923689,0.382374424,-0.285700637,,,,,,,,,0.80026877,0.005061282
1.52,-0.4,-0.660625,0.014253805,-1.325992033,1,0.984274616,,,,,,,,,,,,0.996760351,0.006051572
